"BehaviorSpace results (NetLogo 5.1.0)"
"Simulator.nlogo"
"experiment-larger-network"
"06/09/2015 15:16:00:396 -0400"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","the-random-seed","random-seed?","[step]","[breed] of user","[turns] of user","[turn-payoff] of user","[score] of user"
"7","50","false","14","{breed attack-profiles}","1","7.5","7.5"
"7","50","false","15","{breed random-profiles}","1","-3","-3"
"7","50","false","16","{breed attack-profiles}","1","9.5","9.5"
"7","50","false","17","{breed random-profiles}","2","-3","-4"
"7","50","false","18","{breed attack-profiles}","2","2","11.5"
"7","50","false","19","{breed attack-profiles}","2","3.5","9.5"
"7","50","false","20","{breed attack-profiles}","3","2","9.5"
"7","50","false","21","{breed attack-profiles}","3","0","11.5"
"7","50","false","22","{breed attack-profiles}","1","11.5","11.5"
"7","50","false","23","{breed random-profiles}","2","-3","-4"
"7","50","false","24","{breed attack-profiles}","2","4","11.5"
"7","50","false","25","{breed attack-profiles}","4","2","11.5"
"7","50","false","26","{breed random-profiles}","1","-1","-1"
"7","50","false","27","{breed attack-profiles}","2","5.5","13"
"7","50","false","28","{breed attack-profiles}","2","1.5","13"
"7","50","false","29","{breed attack-profiles}","3","0","13"
"7","50","false","30","{breed attack-profiles}","3","1.5","11"
"7","50","false","31","{breed attack-profiles}","2","5.5","13"
"7","50","false","32","{breed attack-profiles}","1","15","15"
"7","50","false","33","{breed attack-profiles}","4","0","13"
"7","50","false","34","{breed attack-profiles}","3","0","13"
"7","50","false","35","{breed random-profiles}","1","1","1"
"7","50","false","36","{breed random-profiles}","1","-5","-5"
"7","50","false","37","{breed random-profiles}","2","-5","-8"
"7","50","false","38","{breed attack-profiles}","2","13","19"
"7","50","false","39","{breed random-profiles}","5","-3","-5"
"7","50","false","40","{breed attack-profiles}","3","2","21"
"8","50","false","0","{breed random-profiles}","1","1","1"
"8","50","false","1","{breed attack-profiles}","1","0","0"
"8","50","false","2","{breed attack-profiles}","1","0","0"
"8","50","false","3","{breed attack-profiles}","1","0","0"
"8","50","false","4","{breed attack-profiles}","1","0","0"
"8","50","false","5","{breed attack-profiles}","2","0","0"
"8","50","false","6","{breed attack-profiles}","1","0","0"
"8","50","false","7","{breed random-profiles}","1","3","3"
"8","50","false","8","{breed random-profiles}","1","-1","-1"
"8","50","false","9","{breed attack-profiles}","1","1.5","1.5"
"8","50","false","10","{breed attack-profiles}","1","1.5","1.5"
"8","50","false","11","{breed attack-profiles}","1","1.5","1.5"
"8","50","false","12","{breed random-profiles}","1","1","1"
"8","50","false","13","{breed random-profiles}","1","1","1"
"8","50","false","14","{breed random-profiles}","1","1","1"
"8","50","false","15","{breed attack-profiles}","2","2.5","2.5"
"8","50","false","16","{breed random-profiles}","2","3","4"
"8","50","false","17","{breed random-profiles}","1","-3","-3"
"8","50","false","18","{breed random-profiles}","2","-1","2"
"8","50","false","19","{breed attack-profiles}","1","6.5","6.5"
"8","50","false","20","{breed random-profiles}","2","3","4"
"8","50","false","21","{breed attack-profiles}","2","0.5","7"
"8","50","false","22","{breed random-profiles}","2","1","-2"
"8","50","false","23","{breed random-profiles}","1","-3","-3"
"8","50","false","24","{breed attack-profiles}","3","5.5","8"
"8","50","false","25","{breed attack-profiles}","2","10","10"
"8","50","false","26","{breed random-profiles}","3","-3","-5"
"8","50","false","27","{breed random-profiles}","3","-1","1"
"8","50","false","28","{breed attack-profiles}","2","12","13.5"
"8","50","false","29","{breed random-profiles}","2","-1","0"
"8","50","false","30","{breed attack-profiles}","2","13.5","15"
"8","50","false","31","{breed attack-profiles}","3","6","13"
"8","50","false","32","{breed random-profiles}","4","3","-2"
"8","50","false","33","{breed attack-profiles}","2","15.5","15.5"
"8","50","false","34","{breed random-profiles}","3","1","1"
"8","50","false","35","{breed attack-profiles}","4","4.5","12.5"
"8","50","false","36","{breed random-profiles}","2","1","-2"
"8","50","false","37","{breed random-profiles}","3","-1","3"
"8","50","false","38","{breed attack-profiles}","1","19","19"
"8","50","false","39","{breed random-profiles}","5","-3","-5"
"8","50","false","40","{breed attack-profiles}","2","19.5","21"
"9","50","false","0","{breed random-profiles}","1","3","3"
"9","50","false","1","{breed random-profiles}","1","1","1"
"9","50","false","2","{breed attack-profiles}","1","1","1"
"9","50","false","3","{breed attack-profiles}","1","1","1"
"9","50","false","4","{breed random-profiles}","1","-1","-1"
"9","50","false","5","{breed attack-profiles}","1","2.5","2.5"
"9","50","false","6","{breed random-profiles}","2","1","4"
"9","50","false","7","{breed attack-profiles}","2","2.5","3.5"
"9","50","false","8","{breed attack-profiles}","1","1.5","1.5"
"9","50","false","9","{breed random-profiles}","1","1","1"
"9","50","false","10","{breed random-profiles}","1","-1","-1"
"9","50","false","11","{breed attack-profiles}","2","3","4"
"9","50","false","12","{breed attack-profiles}","3","0","4"
"9","50","false","13","{breed random-profiles}","2","1","2"
"9","50","false","14","{breed random-profiles}","2","3","4"
"9","50","false","15","{breed attack-profiles}","1","5.5","5.5"
"9","50","false","16","{breed attack-profiles}","2","2","3.5"
"9","50","false","17","{breed random-profiles}","2","3","2"
"9","50","false","18","{breed attack-profiles}","3","0.5","4"
"9","50","false","19","{breed random-profiles}","2","3","2"
"9","50","false","20","{breed random-profiles}","1","-3","-3"
"9","50","false","21","{breed attack-profiles}","2","3","8.5"
"9","50","false","22","{breed random-profiles}","3","-3","1"
"9","50","false","23","{breed attack-profiles}","3","7","10.5"
"9","50","false","24","{breed attack-profiles}","4","4.5","8.5"
"9","50","false","25","{breed attack-profiles}","1","10.5","10.5"
"9","50","false","26","{breed attack-profiles}","5","0","8.5"
"9","50","false","27","{breed random-profiles}","1","-1","-1"
"9","50","false","28","{breed random-profiles}","4","-1","0"
"9","50","false","29","{breed random-profiles}","3","1","3"
"9","50","false","30","{breed attack-profiles}","4","2","12.5"
"9","50","false","31","{breed random-profiles}","3","1","5"
"9","50","false","32","{breed attack-profiles}","2","13","15.5"
"9","50","false","33","{breed random-profiles}","2","-3","-4"
"9","50","false","34","{breed attack-profiles}","2","5","15.5"
"9","50","false","35","{breed attack-profiles}","1","17.5","17.5"
"9","50","false","36","{breed attack-profiles}","3","0","15.5"
"9","50","false","37","{breed attack-profiles}","6","5","13.5"
"9","50","false","38","{breed random-profiles}","3","-3","-1"
"9","50","false","39","{breed attack-profiles}","7","2","15.5"
"9","50","false","40","{breed attack-profiles}","2","2","19.5"
"10","50","false","0","{breed random-profiles}","1","-1","-1"
"10","50","false","1","{breed attack-profiles}","1","0","0"
"10","50","false","2","{breed attack-profiles}","1","0","0"
"10","50","false","3","{breed attack-profiles}","1","0","0"
"10","50","false","4","{breed attack-profiles}","2","0","0"
"10","50","false","5","{breed random-profiles}","1","1","1"
"10","50","false","6","{breed random-profiles}","1","-3","-3"
"10","50","false","7","{breed attack-profiles}","1","3","3"
"10","50","false","8","{breed attack-profiles}","1","3","3"
"10","50","false","9","{breed attack-profiles}","1","3","3"
"10","50","false","10","{breed attack-profiles}","2","3","3"
"10","50","false","11","{breed random-profiles}","1","1","1"
"10","50","false","12","{breed attack-profiles}","1","2","2"
"10","50","false","13","{breed attack-profiles}","1","2","2"
"10","50","false","14","{breed random-profiles}","1","-3","-3"
"10","50","false","15","{breed attack-profiles}","3","3","6"
"10","50","false","16","{breed attack-profiles}","2","3","6"
"10","50","false","17","{breed attack-profiles}","4","0","6"
"10","50","false","18","{breed random-profiles}","2","3","0"
"10","50","false","19","{breed attack-profiles}","1","4.5","4.5"
"10","50","false","20","{breed random-profiles}","3","1","1"
"10","50","false","21","{breed random-profiles}","4","-1","0"
"10","50","false","22","{breed random-profiles}","1","-1","-1"
"10","50","false","23","{breed attack-profiles}","3","2.5","8.5"
"10","50","false","24","{breed random-profiles}","2","-3","-4"
"10","50","false","25","{breed attack-profiles}","2","4","8.5"
"10","50","false","26","{breed attack-profiles}","4","2","10.5"
"10","50","false","27","{breed attack-profiles}","3","0","8.5"
"10","50","false","28","{breed attack-profiles}","1","10.5","10.5"
"10","50","false","29","{breed random-profiles}","2","1","2"
"10","50","false","30","{breed attack-profiles}","4","1","9.5"
"10","50","false","31","{breed random-profiles}","2","-3","-2"
"10","50","false","32","{breed random-profiles}","2","-1","-4"
"10","50","false","33","{breed random-profiles}","1","-3","-3"
"10","50","false","34","{breed random-profiles}","2","3","2"
"10","50","false","35","{breed attack-profiles}","3","17.5","17.5"
"10","50","false","36","{breed attack-profiles}","2","13.5","15.5"
"10","50","false","37","{breed attack-profiles}","3","0","15.5"
"10","50","false","38","{breed attack-profiles}","2","14.5","17.5"
"10","50","false","39","{breed attack-profiles}","2","14.5","17.5"
"10","50","false","40","{breed attack-profiles}","3","0","17.5"
"11","50","false","0","{breed attack-profiles}","1","0","0"
"11","50","false","1","{breed attack-profiles}","1","0","0"
"11","50","false","2","{breed attack-profiles}","1","0","0"
"11","50","false","3","{breed random-profiles}","1","1","1"
"11","50","false","4","{breed random-profiles}","1","-1","-1"
"11","50","false","5","{breed random-profiles}","1","1","1"
"11","50","false","6","{breed attack-profiles}","1","1.5","1.5"
"11","50","false","7","{breed random-profiles}","2","1","0"
"11","50","false","8","{breed attack-profiles}","2","2.5","2.5"
"11","50","false","9","{breed attack-profiles}","2","1","2.5"
"11","50","false","10","{breed attack-profiles}","1","2.5","2.5"
"11","50","false","11","{breed attack-profiles}","2","2.5","2.5"
"11","50","false","12","{breed attack-profiles}","1","2.5","2.5"
"11","50","false","13","{breed attack-profiles}","1","2.5","2.5"
"11","50","false","14","{breed attack-profiles}","1","2.5","2.5"
"11","50","false","15","{breed random-profiles}","3","-1","-1"
"11","50","false","16","{breed random-profiles}","1","1","1"
"11","50","false","17","{breed attack-profiles}","1","5","5"
"11","50","false","18","{breed random-profiles}","1","3","3"
"11","50","false","19","{breed attack-profiles}","2","3","5.5"
"11","50","false","20","{breed attack-profiles}","3","3","5.5"
"11","50","false","21","{breed attack-profiles}","2","3","5.5"
"11","50","false","22","{breed attack-profiles}","2","0.5","5.5"
"11","50","false","23","{breed random-profiles}","2","-5","-4"
"11","50","false","24","{breed random-profiles}","1","-3","-3"
"11","50","false","25","{breed random-profiles}","2","-5","-4"
"11","50","false","26","{breed attack-profiles}","2","8","10.5"
"11","50","false","27","{breed attack-profiles}","3","5","10.5"
"11","50","false","28","{breed random-profiles}","2","-1","2"
"11","50","false","29","{breed random-profiles}","3","-1","-5"
"11","50","false","30","{breed random-profiles}","1","1","1"
"11","50","false","31","{breed random-profiles}","4","3","-2"
"11","50","false","32","{breed attack-profiles}","4","2.5","13"
"11","50","false","33","{breed attack-profiles}","3","12.5","15"
"11","50","false","34","{breed random-profiles}","5","1","-1"
"11","50","false","35","{breed random-profiles}","2","3","4"
"11","50","false","36","{breed attack-profiles}","3","11","16.5"
"11","50","false","37","{breed attack-profiles}","4","1.5","16.5"
"11","50","false","38","{breed random-profiles}","3","-1","3"
"11","50","false","39","{breed random-profiles}","4","-1","-2"
"11","50","false","40","{breed random-profiles}","4","-3","0"
"12","50","false","0","{breed random-profiles}","1","-1","-1"
"12","50","false","1","{breed random-profiles}","1","3","3"
"12","50","false","2","{breed attack-profiles}","1","0.5","0.5"
"12","50","false","3","{breed random-profiles}","1","1","1"
"12","50","false","4","{breed random-profiles}","2","1","2"
"12","50","false","5","{breed attack-profiles}","1","2.5","2.5"
"12","50","false","6","{breed attack-profiles}","1","2.5","2.5"
"12","50","false","7","{breed attack-profiles}","1","2.5","2.5"
"12","50","false","8","{breed attack-profiles}","1","2.5","2.5"
"12","50","false","9","{breed random-profiles}","1","1","1"
"12","50","false","10","{breed attack-profiles}","1","1.5","1.5"
"12","50","false","11","{breed random-profiles}","2","1","0"
"12","50","false","12","{breed attack-profiles}","1","2.5","2.5"
"12","50","false","13","{breed attack-profiles}","2","1","2.5"
"12","50","false","14","{breed attack-profiles}","2","2","4.5"
"12","50","false","15","{breed random-profiles}","1","-1","-1"
"12","50","false","16","{breed attack-profiles}","3","1.5","6"
"12","50","false","17","{breed attack-profiles}","2","1.5","4"
"12","50","false","18","{breed attack-profiles}","1","4","4"
"12","50","false","19","{breed attack-profiles}","2","3.5","4"
"12","50","false","20","{breed random-profiles}","1","-1","-1"
"12","50","false","21","{breed attack-profiles}","3","1.5","5.5"
"12","50","false","22","{breed attack-profiles}","3","1.5","5.5"
