"BehaviorSpace results (NetLogo 5.1.0)"
"Simulator.nlogo"
"smaller-netowork-1"
"06/10/2015 14:39:00:137 -0400"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","the-random-seed","random-seed?","[step]","[breed] of user","[turns] of user","[turn-payoff] of user","[score] of user"
"5","50","false","22","{breed random-profiles}","7","-1","3"
"5","50","false","23","{breed attack-profiles}","3","3","24"
"5","50","false","24","{breed random-profiles}","8","1","4"
"5","50","false","25","{breed random-profiles}","8","-1","4"
"5","50","false","26","{breed attack-profiles}","4","3","27"
"5","50","false","27","{breed attack-profiles}","8","12","29"
"5","50","false","28","{breed attack-profiles}","5","0","27"
"5","50","false","29","{breed attack-profiles}","6","0","27"
"5","50","false","30","{breed attack-profiles}","7","0","27"
"5","50","false","31","{breed attack-profiles}","8","0","27"
"5","50","false","32","{breed random-profiles}","9","-5","-1"
"5","50","false","33","{breed attack-profiles}","9","3","30"
"5","50","false","34","{breed random-profiles}","10","-5","-6"
"5","50","false","35","{breed attack-profiles}","9","8","37"
"5","50","false","36","{breed random-profiles}","9","-1","3"
"5","50","false","37","{breed random-profiles}","10","-3","0"
"5","50","false","38","{breed random-profiles}","11","-1","-7"
"5","50","false","39","{breed random-profiles}","11","-3","-3"
"5","50","false","40","{breed attack-profiles}","10","12","49"
"5","50","false","41","{breed random-profiles}","12","-4","-7"
"5","50","false","42","{breed random-profiles}","12","-2","-9"
"5","50","false","43","{breed attack-profiles}","11","5","54"
"5","50","false","44","{breed attack-profiles}","10","24","54"
"5","50","false","45","{breed attack-profiles}","11","0","54"
"5","50","false","46","{breed attack-profiles}","12","0","54"
"5","50","false","47","{breed random-profiles}","13","-2","-9"
"5","50","false","48","{breed attack-profiles}","13","2","56"
"5","50","false","49","{breed random-profiles}","13","-2","-11"
"5","50","false","50","{breed attack-profiles}","14","2","58"
"6","50","false","0","{breed attack-profiles}","1","0","0"
"6","50","false","1","{breed attack-profiles}","1","0","0"
"6","50","false","2","{breed random-profiles}","1","3","3"
"6","50","false","3","{breed attack-profiles}","2","1","1"
"6","50","false","4","{breed random-profiles}","2","-1","2"
"6","50","false","5","{breed attack-profiles}","2","2","2"
"6","50","false","6","{breed random-profiles}","3","-1","1"
"6","50","false","7","{breed random-profiles}","4","-3","-2"
"6","50","false","8","{breed random-profiles}","5","1","-1"
"6","50","false","9","{breed attack-profiles}","3","10","11"
"6","50","false","10","{breed attack-profiles}","4","0","11"
"6","50","false","11","{breed random-profiles}","6","1","0"
"6","50","false","12","{breed random-profiles}","7","1","1"
"6","50","false","13","{breed random-profiles}","8","-1","0"
"6","50","false","14","{breed random-profiles}","1","-5","-5"
"6","50","false","15","{breed attack-profiles}","3","19","21"
"6","50","false","16","{breed random-profiles}","9","-1","-1"
"6","50","false","17","{breed attack-profiles}","4","3","24"
"6","50","false","18","{breed attack-profiles}","5","13","24"
"6","50","false","19","{breed random-profiles}","2","-1","-6"
"6","50","false","20","{breed random-profiles}","3","3","-3"
"6","50","false","21","{breed attack-profiles}","5","2","26"
"6","50","false","22","{breed attack-profiles}","6","2","26"
"6","50","false","23","{breed random-profiles}","10","-1","-2"
"6","50","false","24","{breed attack-profiles}","6","3","29"
"6","50","false","25","{breed attack-profiles}","7","0","29"
"6","50","false","26","{breed random-profiles}","11","-3","-5"
"6","50","false","27","{breed random-profiles}","4","-1","-4"
"6","50","false","28","{breed random-profiles}","12","-1","-6"
"6","50","false","29","{breed attack-profiles}","7","9","35"
"6","50","false","30","{breed random-profiles}","13","-1","-7"
"6","50","false","31","{breed random-profiles}","5","1","-3"
"6","50","false","32","{breed random-profiles}","14","0","-7"
"6","50","false","33","{breed attack-profiles}","8","3","38"
"6","50","false","34","{breed random-profiles}","6","-3","-6"
"6","50","false","35","{breed attack-profiles}","9","2","40"
"6","50","false","36","{breed attack-profiles}","10","0","40"
"6","50","false","37","{breed attack-profiles}","11","0","40"
"6","50","false","38","{breed attack-profiles}","8","13","42"
"6","50","false","39","{breed random-profiles}","15","-2","-9"
"6","50","false","40","{breed attack-profiles}","12","2","42"
"6","50","false","41","{breed attack-profiles}","13","0","42"
