"BehaviorSpace results (NetLogo 5.1.0)"
"Simulator.nlogo"
"smaller-netowork-1"
"06/10/2015 15:15:18:527 -0400"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","the-random-seed","random-seed?","[step]","[breed] of user","[turns] of user","[turn-payoff] of user","[score] of user","length [children] of user"
"6","50","false","26","{breed random-profiles}","7","-3","1","1"
"6","50","false","27","{breed random-profiles}","8","-1","0","1"
"6","50","false","28","{breed random-profiles}","9","-1","-1","1"
"6","50","false","29","{breed attack-profiles}","9","18","30","4"
"6","50","false","30","{breed attack-profiles}","8","18","32","3"
"6","50","false","31","{breed attack-profiles}","9","0","32","3"
"6","50","false","32","{breed random-profiles}","10","-3","-4","1"
"6","50","false","33","{breed random-profiles}","6","1","0","1"
"6","50","false","34","{breed random-profiles}","11","-1","-5","1"
"6","50","false","35","{breed random-profiles}","12","0","-5","1"
"6","50","false","36","{breed attack-profiles}","10","7","37","5"
"6","50","false","37","{breed attack-profiles}","10","7","39","4"
"6","50","false","38","{breed attack-profiles}","11","0","37","5"
"6","50","false","39","{breed attack-profiles}","12","0","37","5"
"6","50","false","40","{breed attack-profiles}","13","0","37","5"
"6","50","false","41","{breed attack-profiles}","11","0","39","4"
"6","50","false","42","{breed attack-profiles}","14","0","37","5"
"6","50","false","43","{breed random-profiles}","7","-3","-3","1"
"6","50","false","44","{breed attack-profiles}","12","2","41","5"
"6","50","false","45","{breed attack-profiles}","15","2","39","6"
"6","50","false","46","{breed random-profiles}","13","-4","-9","1"
"6","50","false","47","{breed random-profiles}","8","1","-2","1"
"6","50","false","48","{breed attack-profiles}","13","4","45","6"
"6","50","false","49","{breed attack-profiles}","16","4","43","7"
"6","50","false","50","{breed random-profiles}","14","-2","-11","1"
"7","50","false","0","{breed attack-profiles}","1","0","0","1"
"7","50","false","1","{breed attack-profiles}","1","0","0","1"
"7","50","false","2","{breed attack-profiles}","2","0","0","1"
"7","50","false","3","{breed random-profiles}","1","3","3","1"
"7","50","false","4","{breed random-profiles}","1","-1","-1","1"
"7","50","false","5","{breed attack-profiles}","2","2","2","2"
"7","50","false","6","{breed attack-profiles}","3","0","2","2"
"7","50","false","7","{breed attack-profiles}","4","0","2","2"
"7","50","false","8","{breed attack-profiles}","3","2","2","2"
"7","50","false","9","{breed attack-profiles}","4","0","2","2"
"7","50","false","10","{breed random-profiles}","2","-1","2","1"
"7","50","false","11","{breed random-profiles}","2","-1","-2","1"
"7","50","false","12","{breed attack-profiles}","5","4","6","3"
"7","50","false","13","{breed attack-profiles}","5","4","6","3"
"7","50","false","14","{breed random-profiles}","3","3","5","1"
"7","50","false","15","{breed random-profiles}","3","3","1","1"
"7","50","false","16","{breed random-profiles}","4","-3","2","1"
"7","50","false","17","{breed random-profiles}","4","3","4","1"
"7","50","false","18","{breed random-profiles}","5","-1","3","1"
"7","50","false","19","{breed random-profiles}","5","-1","1","1"
"7","50","false","20","{breed random-profiles}","6","-1","0","1"
"7","50","false","21","{breed random-profiles}","7","-3","-3","1"
"7","50","false","22","{breed attack-profiles}","6","18","24","4"
"7","50","false","23","{breed attack-profiles}","6","18","24","4"
"7","50","false","24","{breed attack-profiles}","7","0","24","4"
"7","50","false","25","{breed random-profiles}","6","-1","2","1"
"7","50","false","26","{breed random-profiles}","7","-1","1","1"
"7","50","false","27","{breed attack-profiles}","7","4","28","5"
"7","50","false","28","{breed attack-profiles}","8","4","28","5"
"7","50","false","29","{breed random-profiles}","8","-3","-6","1"
"7","50","false","30","{breed attack-profiles}","9","2","30","6"
"7","50","false","31","{breed random-profiles}","8","-3","-2","1"
"7","50","false","32","{breed random-profiles}","9","-1","-7","1"
"7","50","false","33","{breed attack-profiles}","8","9","37","6"
"7","50","false","34","{breed attack-profiles}","10","5","35","7"
"7","50","false","35","{breed attack-profiles}","11","0","35","7"
"7","50","false","36","{breed attack-profiles}","9","0","37","6"
"7","50","false","37","{breed random-profiles}","10","1","-6","1"
"7","50","false","38","{breed random-profiles}","11","-3","-9","1"
"7","50","false","39","{breed random-profiles}","12","-1","-10","1"
"7","50","false","40","{breed random-profiles}","9","-3","-5","1"
"7","50","false","41","{breed random-profiles}","13","-1","-11","1"
"7","50","false","42","{breed attack-profiles}","10","12","49","7"
"7","50","false","43","{breed attack-profiles}","12","12","47","8"
"7","50","false","44","{breed random-profiles}","14","-2","-13","1"
"7","50","false","45","{breed random-profiles}","10","-1","-6","1"
"7","50","false","46","{breed attack-profiles}","13","3","50","9"
"7","50","false","47","{breed random-profiles}","11","-3","-9","1"
"7","50","false","48","{breed random-profiles}","12","-3","-12","1"
"7","50","false","49","{breed attack-profiles}","14","6","56","10"
"7","50","false","50","{breed random-profiles}","15","-2","-15","1"
"8","50","false","0","{breed random-profiles}","1","1","1","1"
"8","50","false","1","{breed attack-profiles}","1","0","0","1"
"8","50","false","2","{breed random-profiles}","2","1","2","1"
"8","50","false","3","{breed attack-profiles}","1","2","2","1"
"8","50","false","4","{breed attack-profiles}","2","0","2","1"
"8","50","false","5","{breed random-profiles}","1","1","1","1"
"8","50","false","6","{breed random-profiles}","2","1","2","1"
"8","50","false","7","{breed random-profiles}","3","-1","1","1"
"8","50","false","8","{breed random-profiles}","4","-1","0","1"
"8","50","false","9","{breed random-profiles}","5","-3","-3","1"
"8","50","false","10","{breed random-profiles}","3","-3","-1","1"
"8","50","false","11","{breed random-profiles}","6","3","0","1"
"8","50","false","12","{breed attack-profiles}","2","19","19","2"
"8","50","false","13","{breed random-profiles}","7","1","1","1"
"8","50","false","14","{breed random-profiles}","4","1","0","1"
"8","50","false","15","{breed random-profiles}","8","-1","0","1"
"8","50","false","16","{breed attack-profiles}","3","24","26","2"
"8","50","false","17","{breed random-profiles}","5","3","3","2"
"8","50","false","18","{breed random-profiles}","9","-5","-5","1"
"8","50","false","19","{breed random-profiles}","6","1","4","2"
"8","50","false","20","{breed attack-profiles}","3","12","31","3"
"8","50","false","21","{breed random-profiles}","10","3","-2","1"
"8","50","false","22","{breed random-profiles}","11","0","-2","1"
"8","50","false","23","{breed attack-profiles}","4","8","34","3"
"8","50","false","24","{breed attack-profiles}","4","3","34","3"
"8","50","false","25","{breed attack-profiles}","5","0","34","3"
"8","50","false","26","{breed random-profiles}","7","-1","3","2"
"8","50","false","27","{breed random-profiles}","12","-1","-3","1"
"8","50","false","28","{breed random-profiles}","8","-1","2","2"
"8","50","false","29","{breed attack-profiles}","6","5","39","4"
"8","50","false","30","{breed attack-profiles}","7","0","39","4"
"8","50","false","31","{breed attack-profiles}","5","5","39","4"
"8","50","false","32","{breed attack-profiles}","8","0","39","4"
"8","50","false","33","{breed random-profiles}","9","-3","-1","2"
"8","50","false","34","{breed attack-profiles}","9","2","41","5"
"8","50","false","35","{breed random-profiles}","10","-3","-4","2"
"8","50","false","36","{breed attack-profiles}","10","2","43","6"
"8","50","false","37","{breed random-profiles}","11","-3","-7","2"
"8","50","false","38","{breed random-profiles}","13","-4","-7","1"
"8","50","false","39","{breed attack-profiles}","11","6","49","7"
"8","50","false","40","{breed random-profiles}","12","-3","-10","2"
"8","50","false","41","{breed random-profiles}","13","0","-10","2"
"8","50","false","42","{breed attack-profiles}","12","2","51","8"
"8","50","false","43","{breed random-profiles}","14","-2","-9","1"
"8","50","false","44","{breed attack-profiles}","6","20","59","5"
"8","50","false","45","{breed attack-profiles}","7","0","59","5"
"8","50","false","46","{breed attack-profiles}","8","0","59","5"
"8","50","false","47","{breed attack-profiles}","13","2","53","8"
"8","50","false","48","{breed attack-profiles}","14","0","53","8"
"8","50","false","49","{breed random-profiles}","14","-2","-12","2"
"8","50","false","50","{breed random-profiles}","15","0","-12","2"
"9","50","false","0","{breed random-profiles}","1","1","1","1"
"9","50","false","1","{breed random-profiles}","1","1","1","1"
"9","50","false","2","{breed attack-profiles}","1","2","2","1"
"9","50","false","3","{breed random-profiles}","2","-1","0","1"
"9","50","false","4","{breed random-profiles}","2","1","2","1"
"9","50","false","5","{breed attack-profiles}","2","3","5","2"
"9","50","false","6","{breed attack-profiles}","3","0","5","2"
"9","50","false","7","{breed random-profiles}","3","1","3","1"
"9","50","false","8","{breed attack-profiles}","1","7","7","2"
"9","50","false","9","{breed random-profiles}","4","1","4","1"
"9","50","false","10","{breed random-profiles}","5","-1","3","1"
"9","50","false","11","{breed random-profiles}","3","1","1","1"
"9","50","false","12","{breed attack-profiles}","2","5","12","3"
"9","50","false","13","{breed attack-profiles}","3","0","12","3"
"9","50","false","14","{breed attack-profiles}","4","0","12","3"
"9","50","false","15","{breed random-profiles}","6","-3","0","1"
"9","50","false","16","{breed random-profiles}","7","-1","-1","1"
"9","50","false","17","{breed attack-profiles}","5","5","17","4"
"9","50","false","18","{breed attack-profiles}","4","14","19","3"
"9","50","false","19","{breed attack-profiles}","5","0","19","3"
"9","50","false","20","{breed random-profiles}","4","1","2","1"
"9","50","false","21","{breed attack-profiles}","6","2","19","4"
"9","50","false","22","{breed attack-profiles}","7","0","19","4"
"9","50","false","23","{breed random-profiles}","5","-3","-1","1"
"9","50","false","24","{breed attack-profiles}","8","2","21","5"
"9","50","false","25","{breed random-profiles}","8","1","0","1"
"9","50","false","26","{breed random-profiles}","9","-1","-1","1"
"9","50","false","27","{breed random-profiles}","10","-1","-2","1"
"9","50","false","28","{breed attack-profiles}","9","6","27","6"
"9","50","false","29","{breed attack-profiles}","10","0","27","6"
"9","50","false","30","{breed attack-profiles}","11","0","27","6"
"9","50","false","31","{breed random-profiles}","6","-5","-6","1"
"9","50","false","32","{breed random-profiles}","11","-3","-5","1"
"9","50","false","33","{breed random-profiles}","7","3","-3","2"
"9","50","false","34","{breed random-profiles}","8","1","-2","2"
"9","50","false","35","{breed attack-profiles}","12","9","36","7"
"9","50","false","36","{breed attack-profiles}","13","0","36","7"
"9","50","false","37","{breed attack-profiles}","6","23","42","4"
"9","50","false","38","{breed random-profiles}","9","-1","-3","2"
"9","50","false","39","{breed random-profiles}","10","-1","-4","2"
"9","50","false","40","{breed attack-profiles}","7","4","46","5"
"9","50","false","41","{breed attack-profiles}","8","0","46","5"
"9","50","false","42","{breed attack-profiles}","9","0","46","5"
"9","50","false","43","{breed random-profiles}","11","-5","-9","2"
"9","50","false","44","{breed random-profiles}","12","-1","-10","2"
"9","50","false","45","{breed attack-profiles}","14","12","48","8"
"9","50","false","46","{breed random-profiles}","13","-2","-12","2"
"9","50","false","47","{breed random-profiles}","14","0","-12","2"
